year, month, day, hour, minute, second, lon, lat, depth, mag
1847, 2, 3, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 2, 3, 18, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 2, 26, 18, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 3, 15, 11, 0, 0.000, 177.0000, -39.0000, 25.00, 4.500
1847, 3, 23, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1847, 3, 27, 20, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 3, 28, 9, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 4, 16, 9, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 5, 8, 1, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 5, 31, 19, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 7, 2, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1847, 7, 24, 10, 50, 0.000, 175.0000, -41.0000, 25.00, 5.500
1847, 7, 24, 11, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 8, 10, 8, 0, 0.000, 178.0000, -38.0000, 25.00, 4.500
1847, 8, 11, 7, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 9, 21, 16, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1847, 9, 26, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1847, 10, 13, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 10, 27, 11, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 11, 9, 9, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 12, 9, 20, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 12, 17, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1847, 12, 30, 5, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 1, 14, 20, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 1, 17, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 1, 19, 2, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 2, 26, 9, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 4, 9, 7, 50, 0.000, 175.0000, -40.0000, 25.00, 5.500
1848, 4, 10, 7, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 4, 12, 20, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 4, 12, 20, 40, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 4, 16, 20, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 4, 19, 13, 0, 0.000, 175.0000, -41.0000, 25.00, 5.500
1848, 5, 2, 2, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 5, 9, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1848, 6, 1, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1848, 6, 5, 17, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 6, 12, 12, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 6, 24, 17, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 8, 14, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 8, 19, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 10, 6, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1848, 10, 15, 14, 10, 0.000, 173.6000, -41.9000, 12.00, 7.550
1848, 10, 15, 16, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 15, 18, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 15, 19, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 15, 21, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 15, 22, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 0, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 2, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 3, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 4, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 5, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 7, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 8, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 11, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 12, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 15, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 16, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 17, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 16, 19, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 4, 0, 0.000, 173.6000, -41.9000, 12.00, 6.100
1848, 10, 17, 6, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 7, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 8, 4, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 12, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 17, 13, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 18, 17, 24, 0.000, 173.6000, -41.9000, 12.00, 6.200
1848, 10, 18, 19, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 18, 22, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 19, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 19, 12, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 19, 23, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 20, 15, 55, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 20, 16, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 20, 21, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 21, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 21, 9, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 21, 10, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 21, 22, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 22, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 22, 4, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 22, 13, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 22, 13, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 22, 16, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 23, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 23, 1, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 23, 3, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 23, 3, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 23, 10, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 23, 14, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 24, 2, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 2, 27, 0.000, 173.6000, -41.9000, 12.00, 6.000
1848, 10, 24, 2, 45, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 2, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 3, 32, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 3, 45, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 4, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 5, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 18, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 33, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 6, 54, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 7, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 7, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 8, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 8, 29, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 8, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 9, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 9, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 9, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 9, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 9, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 10, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 11, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 12, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 12, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 13, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 13, 22, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 14, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 14, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 15, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 16, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 17, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 24, 19, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
