year, month, day, hour, minute, second, lon, lat, depth, mag
1948, 1, 25, 14, 56, 40.000, 173.3200, -40.0800, 124.00, 3.511
1948, 2, 18, 0, 17, 36.000, 177.7300, -38.3300, 71.00, 4.861
1948, 3, 14, 16, 21, 8.000, 173.1800, -40.4100, 125.00, 3.917
1948, 5, 20, 6, 9, 12.000, 174.5800, -39.7300, 173.00, 3.752
1948, 5, 24, 12, 9, 51.000, 176.5100, -37.4900, 216.00, 4.771
1948, 6, 7, 7, 17, 40.000, 177.9900, -37.7400, 270.00, 4.184
1948, 6, 10, 2, 48, 55.000, 176.9700, -37.3700, 217.00, 4.412
1948, 7, 3, 21, 10, 28.000, 176.7200, -38.1400, 236.00, 4.673
1948, 7, 29, 5, 9, 57.000, 174.0100, -39.7500, 206.00, 4.642
1948, 8, 14, 7, 2, 3.000, 176.4600, -38.3100, 234.00, 4.626
1948, 8, 16, 20, 20, 50.000, 178.0800, -37.7700, 208.00, 4.790
1948, 9, 6, 0, 38, 58.000, 177.5800, -38.0200, 116.00, 5.275
1948, 9, 15, 23, 24, 21.000, 177.3700, -37.8200, 256.00, 4.523
1948, 9, 16, 10, 30, 2.000, 175.9500, -38.7700, 182.00, 4.393
1948, 10, 3, 21, 58, 22.000, 176.0300, -36.6400, 215.00, 4.365
1948, 10, 11, 2, 4, 43.000, 175.3600, -39.4000, 93.00, 3.789
1948, 11, 10, 9, 51, 51.000, 176.1200, -38.5700, 229.00, 3.771
1948, 12, 10, 20, 16, 52.000, 177.0000, -37.3300, 250.00, 4.027
1948, 12, 21, 3, 1, 40.000, 177.1700, -38.8400, 68.00, 4.358
1948, 12, 28, 0, 49, 21.000, 174.7600, -40.8900, 83.00, 4.935
1949, 1, 10, 15, 44, 3.000, 173.4600, -40.0200, 164.00, 4.028
1949, 1, 15, 4, 42, 29.000, 174.8700, -39.1900, 201.00, 5.127
1949, 1, 20, 0, 2, 59.000, 175.9400, -38.7600, 137.00, 4.857
1949, 1, 26, 3, 49, 50.000, 176.8800, -38.4300, 174.00, 4.361
1949, 1, 29, 14, 19, 49.000, 177.6200, -37.0200, 177.00, 4.813
1949, 2, 8, 5, 8, 17.000, 176.5000, -39.3000, 99.00, 3.877
1949, 2, 9, 17, 30, 50.000, 174.3500, -39.6800, 199.00, 5.843
1949, 2, 19, 10, 23, 56.000, 176.5000, -38.5200, 140.00, 3.830
