year, month, day, lon, lat, dep, mag, isslab
1950, 1, 9, 176.8300, -37.3600, 309.0000, 4.193, 1
1950, 1, 12, 174.5700, -41.1900, 50.0000, 5.217, 1
1950, 1, 12, 174.6500, -41.1900, 50.0000, 5.217, 1
1950, 1, 13, 174.9600, -39.1500, 226.0000, 4.904, 1
1950, 1, 17, 175.8200, -38.8700, 142.0000, 4.488, 1
1950, 1, 25, 177.2800, -39.0300, 81.0000, 3.920, 1
1950, 1, 30, 176.4000, -40.1800, 96.0000, 3.476, 1
1950, 2, 1, 177.0900, -37.2300, 223.0000, 4.295, 1
1950, 2, 13, 175.7900, -38.9200, 138.0000, 4.090, 1
1950, 2, 17, 178.3000, -37.5400, 289.0000, 3.730, 1
1950, 2, 20, 177.3800, -37.6700, 289.0000, 4.597, 1
1950, 2, 28, 176.9200, -38.8600, 60.0000, 5.518, 1
1950, 3, 13, 174.0000, -40.5400, 70.0000, 5.275, 0
1950, 4, 1, 175.9100, -40.5300, 102.0000, 3.258, 1
1950, 4, 7, 173.6100, -40.2800, 175.0000, 3.696, 1
1950, 4, 7, 176.9400, -39.8300, 97.0000, 4.391, 1
1950, 4, 20, 171.8900, -41.4200, 112.0000, 3.234, 1
1950, 4, 27, 178.8800, -37.1800, 106.0000, 4.217, 1
1950, 5, 4, 176.4400, -37.9100, 183.0000, 4.493, 1
1950, 6, 16, 173.1900, -41.2700, 90.0000, 4.510, 1
1950, 6, 17, 175.2500, -38.9200, 185.0000, 5.330, 1
1950, 6, 25, 176.1500, -38.7300, 168.0000, 3.662, 1
1950, 7, 4, 173.9200, -39.9300, 128.0000, 3.196, 1
1950, 7, 21, 174.1900, -39.7300, 207.0000, 4.894, 1
1950, 8, 12, 177.2500, -36.9800, 253.0000, 3.918, 1
1950, 8, 31, 178.2800, -38.3000, 84.0000, 4.371, 1
1950, 9, 18, 172.7400, -41.4400, 147.0000, 3.354, 1
1950, 9, 26, 174.2300, -39.6100, 239.0000, 3.951, 1
1950, 11, 10, 177.7500, -38.2700, 125.0000, 4.172, 1
1950, 11, 11, 173.2900, -40.3500, 149.0000, 3.860, 1
1950, 11, 25, 173.0400, -40.5800, 158.0000, 4.042, 1
1950, 12, 1, 172.6400, -41.3100, 158.0000, 3.532, 1
1950, 12, 4, 167.9600, -44.9200, 175.0000, 5.244, 1
