clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
177.8468,-34.3511,298.430,177.8920,-34.4406,303.666,177.9335,-34.5227,308.465
177.8013,-34.3301,301.777,177.8464,-34.4199,306.948,177.8878,-34.5023,311.689
177.7565,-34.3092,304.980,177.8014,-34.3995,310.088,177.8427,-34.4821,314.770
177.7123,-34.2887,308.055,177.7571,-34.3792,313.100,177.7982,-34.4622,317.725
177.6687,-34.2683,311.014,177.7133,-34.3592,315.997,177.7543,-34.4425,320.565
177.6256,-34.2482,313.866,177.6701,-34.3394,318.788,177.7111,-34.4229,323.299
177.5831,-34.2284,316.619,177.6275,-34.3198,321.481,177.6683,-34.4036,325.937
177.5411,-34.2087,319.282,177.5855,-34.3005,324.084,177.6262,-34.3845,328.486
177.4997,-34.1893,321.859,177.5439,-34.2813,326.603,177.5846,-34.3657,330.951
177.4587,-34.1702,324.356,177.5029,-34.2624,329.043,177.5435,-34.3470,333.339
177.4183,-34.1512,326.779,177.4624,-34.2437,331.410,177.5030,-34.3285,335.654
177.3784,-34.1325,329.132,177.4224,-34.2252,333.707,177.4629,-34.3102,337.900
177.3389,-34.1140,331.418,177.3829,-34.2070,335.938,177.4234,-34.2922,340.082
177.3000,-34.0957,333.641,177.3439,-34.1889,338.107,177.3843,-34.2743,342.202
177.2615,-34.0776,335.803,177.3054,-34.1710,340.218,177.3457,-34.2566,344.265
177.2235,-34.0597,337.909,177.2673,-34.1533,342.272,177.3076,-34.2392,346.272
177.1859,-34.0420,339.961,177.2297,-34.1359,344.273,177.2699,-34.2219,348.227
177.1488,-34.0245,341.960,177.1925,-34.1186,346.224,177.2327,-34.2048,350.132
177.1121,-34.0072,343.910,177.1558,-34.1015,348.125,177.1959,-34.1878,351.989
177.0758,-33.9902,345.813,177.1194,-34.0846,349.980,177.1595,-34.1711,353.800
177.0400,-33.9732,347.670,177.0835,-34.0678,351.790,177.1236,-34.1545,355.567
177.0045,-33.9565,349.483,177.0481,-34.0513,353.558,177.0880,-34.1381,357.293
176.9695,-33.9400,351.254,177.0130,-34.0349,355.284,177.0529,-34.1219,358.978
176.9349,-33.9236,352.985,176.9783,-34.0187,356.971,177.0182,-34.1058,360.625
176.9006,-33.9074,354.676,176.9440,-34.0026,358.620,176.9838,-34.0899,362.234
176.8667,-33.8914,356.330,176.9100,-33.9868,360.232,176.9498,-34.0742,363.808
176.8332,-33.8755,357.948,176.8765,-33.9711,361.808,176.9162,-34.0586,365.346
176.8000,-33.8598,359.531,176.8433,-33.9555,363.351,176.8830,-34.0432,366.852
176.7672,-33.8443,361.080,176.8104,-33.9401,364.860,176.8501,-34.0279,368.325
176.7348,-33.8289,362.597,176.7779,-33.9249,366.338,176.8176,-34.0128,369.767
176.7027,-33.8137,364.082,176.7458,-33.9098,367.785,176.7854,-33.9978,371.179
176.6709,-33.7986,365.537,176.7140,-33.8948,369.202,176.7535,-33.9830,372.562
176.6394,-33.7837,366.962,176.6825,-33.8800,370.591,176.7220,-33.9683,373.917
176.6083,-33.7689,368.358,176.6513,-33.8654,371.951,176.6908,-33.9537,375.245
176.5775,-33.7543,369.727,176.6204,-33.8508,373.284,176.6599,-33.9393,376.546
176.5470,-33.7398,371.068,176.5899,-33.8364,374.592,176.6293,-33.9250,377.821
176.5167,-33.7254,372.384,176.5596,-33.8222,375.873,176.5991,-33.9109,379.072
176.4868,-33.7112,373.674,176.5297,-33.8081,377.130,176.5691,-33.8969,380.299
180.8857,-35.8145,24.702,180.8875,-35.8197,36.687,180.8893,-35.8244,47.673
180.7813,-35.7679,25.175,180.7839,-35.7750,37.146,180.7863,-35.7815,48.119
180.6776,-35.7226,25.772,180.6812,-35.7326,37.714,180.6845,-35.7418,48.660
