clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
177.6806,-34.1211,318.917,177.7223,-34.0847,316.315,177.6809,-34.1772,318.867,177.6390,-34.1576,321.488,177.6803,-34.0648,318.997
177.6389,-34.1014,321.526,177.6803,-34.0648,318.997,177.6390,-34.1576,321.488,177.5976,-34.1381,324.026,177.6388,-34.0452,321.592
177.5977,-34.0820,324.053,177.6388,-34.0452,321.592,177.5976,-34.1381,324.026,177.5566,-34.1190,326.487,177.5978,-34.0258,324.105
177.5569,-34.0628,326.502,177.5978,-34.0258,324.105,177.5566,-34.1190,326.487,177.5161,-34.1000,328.875,177.5572,-34.0066,326.542
177.5166,-34.0438,328.880,177.5572,-34.0066,326.542,177.5161,-34.1000,328.875,177.4761,-34.0812,331.194,177.5170,-33.9876,328.907
177.4767,-34.0251,331.188,177.5170,-33.9876,328.907,177.4761,-34.0812,331.194,177.4365,-34.0627,333.448,177.4773,-33.9688,331.204
177.4373,-34.0065,333.432,177.4773,-33.9688,331.204,177.4365,-34.0627,333.448,177.3974,-34.0443,335.639,177.4380,-33.9502,333.436
177.3983,-33.9882,335.613,177.4380,-33.9502,333.436,177.3974,-34.0443,335.639,177.3587,-34.0262,337.772,177.3991,-33.9319,335.607
181.0111,-35.6470,36.740,181.0942,-35.6266,36.374,181.0318,-35.7131,36.427,180.9278,-35.6675,37.058,180.9907,-35.5809,37.100
180.9077,-35.6019,37.301,180.9907,-35.5809,37.100,180.9278,-35.6675,37.058,180.8245,-35.6230,37.500,180.8879,-35.5360,37.545
180.8054,-35.5584,37.812,180.8879,-35.5360,37.545,180.8245,-35.6230,37.500,180.7227,-35.5811,38.105,180.7866,-35.4933,38.100
180.7048,-35.5176,38.512,180.7866,-35.4933,38.100,180.7227,-35.5811,38.105,180.6224,-35.5423,38.948,180.6873,-35.4536,38.894
180.6062,-35.4800,39.453,180.6873,-35.4536,38.894,180.6224,-35.5423,38.948,180.5248,-35.5068,40.043,180.5904,-35.4172,39.926
180.5104,-35.4455,40.701,180.5904,-35.4172,39.926,180.5248,-35.5068,40.043,180.4298,-35.4742,41.512,180.4964,-35.3837,41.323
180.4173,-35.4134,42.355,180.4964,-35.3837,41.323,180.4298,-35.4742,41.512,180.3376,-35.4435,43.436,180.4052,-35.3523,43.151
180.3268,-35.3826,44.522,180.4052,-35.3523,43.151,180.3376,-35.4435,43.436,180.2485,-35.4129,45.961,180.3158,-35.3219,45.539
