clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
164.5030,-48.3456,33.218,164.4226,-48.3608,29.827,164.5089,-48.2836,31.070,164.5830,-48.3300,36.813,164.4974,-48.4081,35.163
164.5762,-48.3908,39.426,164.4974,-48.4081,35.163,164.5830,-48.3300,36.813,164.6546,-48.3732,43.842,164.5698,-48.4521,41.886
164.6468,-48.4330,46.796,164.5698,-48.4521,41.886,164.6546,-48.3732,43.842,164.7235,-48.4135,51.812,164.6393,-48.4930,49.644
164.7148,-48.4725,54.986,164.6393,-48.4930,49.644,164.7235,-48.4135,51.812,164.7901,-48.4518,60.387,164.7063,-48.5316,58.101
164.7808,-48.5102,63.711,164.7063,-48.5316,58.101,164.7901,-48.4518,60.387,164.8552,-48.4886,69.350,164.7716,-48.5686,67.006
164.8456,-48.5467,72.774,164.7716,-48.5686,67.006,164.8552,-48.4886,69.350,164.9195,-48.5247,78.549,164.8361,-48.6048,76.190
164.9100,-48.5827,82.040,164.8361,-48.6048,76.190,164.9195,-48.5247,78.549,164.9837,-48.5605,87.884,164.9007,-48.6407,85.537
164.9746,-48.6185,91.413,164.9007,-48.6407,85.537,164.9837,-48.5605,87.884,165.0481,-48.5962,97.274,164.9659,-48.6767,94.957
165.0394,-48.6544,100.788,164.9659,-48.6767,94.957,165.0481,-48.5962,97.274,165.1120,-48.6319,106.606,165.0314,-48.7130,104.315
165.1034,-48.6902,110.090,165.0314,-48.7130,104.315,165.1120,-48.6319,106.606,165.1745,-48.6669,115.907,165.0956,-48.7489,113.530
165.1659,-48.7252,119.396,165.0956,-48.7489,113.530,165.1745,-48.6669,115.907,165.2356,-48.7012,125.316,165.1580,-48.7839,122.830
165.2270,-48.7595,128.821,165.1580,-48.7839,122.830,165.2356,-48.7012,125.316,165.2953,-48.7347,134.858,165.2190,-48.8181,132.282
165.2866,-48.7929,138.367,165.2190,-48.8181,132.282,165.2953,-48.7347,134.858,165.3537,-48.7673,144.494,165.2784,-48.8513,141.832
165.3449,-48.8255,147.692,165.2784,-48.8513,141.832,165.3537,-48.7673,144.494,165.4108,-48.7993,153.347,165.3367,-48.8839,151.092
165.4021,-48.8573,155.391,165.3367,-48.8839,151.092,165.4108,-48.7993,153.347,165.4669,-48.8306,159.876,165.3938,-48.9157,157.249
165.4581,-48.8886,161.273,165.3938,-48.9157,157.249,165.4669,-48.8306,159.876,165.5218,-48.8612,165.398,165.4499,-48.9469,162.571
165.5131,-48.9192,166.385,165.4499,-48.9469,162.571,165.5218,-48.8612,165.398,165.5757,-48.8912,170.239,165.5048,-48.9774,167.334
165.5670,-48.9491,170.953,165.5048,-48.9774,167.334,165.5757,-48.8912,170.239,165.6286,-48.9206,174.575,165.5588,-49.0074,171.665
165.6199,-48.9785,175.101,165.5588,-49.0074,171.665,165.6286,-48.9206,174.575,165.6804,-48.9494,178.518,165.6118,-49.0368,175.645
165.6718,-49.0073,178.909,165.6118,-49.0368,175.645,165.6804,-48.9494,178.518,165.7313,-48.9776,182.146,165.6638,-49.0656,179.329
165.7228,-49.0356,182.437,165.6638,-49.0656,179.329,165.7313,-48.9776,182.146,165.7813,-49.0053,185.514,165.7148,-49.0938,182.760
165.7729,-49.0633,185.727,165.7148,-49.0938,182.760,165.7813,-49.0053,185.514,165.8303,-49.0325,188.661,165.7650,-49.1216,185.973
165.8220,-49.0905,188.812,165.7650,-49.1216,185.973,165.8303,-49.0325,188.661,165.8785,-49.0592,191.618,165.8143,-49.1488,188.994
165.8703,-49.1172,191.717,165.8143,-49.1488,188.994,165.8785,-49.0592,191.618,165.9259,-49.0854,194.408,165.8627,-49.1755,191.846
165.9178,-49.1435,194.462,165.8627,-49.1755,191.846,165.9259,-49.0854,194.408,165.9725,-49.1111,197.048,165.9103,-49.2018,194.546
165.9646,-49.1693,197.064,165.9103,-49.2018,194.546,165.9725,-49.1111,197.048,166.0183,-49.1364,199.554,165.9571,-49.2276,197.108
166.0105,-49.1946,199.536,165.9571,-49.2276,197.108,166.0183,-49.1364,199.554,166.0634,-49.1613,201.938,166.0032,-49.2530,199.545
166.0557,-49.2195,201.891,166.0032,-49.2530,199.545,166.0634,-49.1613,201.938,166.1077,-49.1858,204.211,166.0486,-49.2780,201.868
166.1002,-49.2440,204.136,166.0486,-49.2780,201.868,166.1077,-49.1858,204.211,166.1514,-49.2098,206.381,166.0932,-49.3025,204.086
166.1441,-49.2681,206.282,166.0932,-49.3025,204.086,166.1514,-49.2098,206.381,166.1944,-49.2335,208.456,166.1372,-49.3267,206.206
166.1872,-49.2919,208.335,166.1372,-49.3267,206.206,166.1944,-49.2335,208.456,166.2368,-49.2568,210.442,166.1805,-49.3505,208.236
166.2298,-49.3153,210.302,166.1805,-49.3505,208.236,166.2368,-49.2568,210.442,166.2786,-49.2798,212.347,166.2232,-49.3739,210.181
166.2717,-49.3383,212.188,166.2232,-49.3739,210.181,166.2786,-49.2798,212.347,166.3198,-49.3024,214.174,166.2653,-49.3970,212.048
166.3131,-49.3610,213.998,166.2653,-49.3970,212.048,166.3198,-49.3024,214.174,166.3604,-49.3248,215.929,166.3068,-49.4198,213.841
166.3538,-49.3834,215.737,166.3068,-49.4198,213.841,166.3604,-49.3248,215.929,166.4004,-49.3467,217.616,166.3477,-49.4422,215.563
166.3941,-49.4054,217.410,166.3477,-49.4422,215.563,166.4004,-49.3467,217.616,166.4400,-49.3684,219.239,166.3881,-49.4643,217.221
166.4338,-49.4272,219.019,166.3881,-49.4643,217.221,166.4400,-49.3684,219.239,166.4790,-49.3898,220.801,166.4280,-49.4861,218.816
166.4729,-49.4486,220.569,166.4280,-49.4861,218.816,166.4790,-49.3898,220.801,166.5175,-49.4109,222.307,166.4673,-49.5076,220.353
166.5116,-49.4698,222.063,166.4673,-49.5076,220.353,166.5175,-49.4109,222.307,166.5555,-49.4317,223.757,166.5062,-49.5289,221.835
166.5498,-49.4907,223.503,166.5062,-49.5289,221.835,166.5555,-49.4317,223.757,166.5931,-49.4523,225.157,166.5445,-49.5498,223.264
166.5875,-49.5113,224.893,166.5445,-49.5498,223.264,166.5931,-49.4523,225.157,166.6302,-49.4726,226.507,166.5824,-49.5705,224.643
164.3442,-48.1142,22.940,164.2430,-48.1209,21.081,164.3457,-48.0491,22.219,164.4390,-48.1057,24.549,164.3493,-48.1812,23.912
164.4348,-48.1696,25.760,164.3493,-48.1812,23.912,164.4390,-48.1057,24.549,164.5191,-48.1575,27.757,164.4319,-48.2340,26.822
164.5136,-48.2204,29.510,164.4319,-48.2340,26.822,164.5191,-48.1575,27.757,164.5947,-48.2062,32.390,164.5089,-48.2836,31.070
164.5887,-48.2679,34.700,164.5089,-48.2836,31.070,164.5947,-48.2062,32.390,164.6683,-48.2517,38.524,164.5830,-48.3300,36.813
164.6613,-48.3123,41.258,164.5830,-48.3300,36.813,164.6683,-48.2517,38.524,164.7392,-48.2941,45.852,164.6546,-48.3732,43.842
164.7312,-48.3537,48.877,164.6546,-48.3732,43.842,164.7392,-48.2941,45.852,164.8075,-48.3339,54.001,164.7235,-48.4135,51.812
164.7987,-48.3928,57.220,164.7235,-48.4135,51.812,164.8075,-48.3339,54.001,164.8738,-48.3719,62.680,164.7901,-48.4518,60.387
164.8644,-48.4302,66.026,164.7901,-48.4518,60.387,164.8738,-48.3719,62.680,164.9386,-48.4086,71.689,164.8552,-48.4886,69.350
164.9290,-48.4666,75.123,164.8552,-48.4886,69.350,164.9386,-48.4086,71.689,165.0027,-48.4445,80.901,164.9195,-48.5247,78.549
164.9931,-48.5025,84.390,164.9195,-48.5247,78.549,165.0027,-48.4445,80.901,165.0664,-48.4802,90.227,164.9837,-48.5605,87.884
165.0570,-48.5381,93.746,164.9837,-48.5605,87.884,165.0664,-48.4802,90.227,165.1298,-48.5156,99.599,165.0481,-48.5962,97.274
165.1206,-48.5736,103.108,165.0481,-48.5962,97.274,165.1298,-48.5156,99.599,165.1924,-48.5506,108.953,165.1120,-48.6319,106.606
165.1832,-48.6086,112.451,165.1120,-48.6319,106.606,165.1924,-48.5506,108.953,165.2537,-48.5850,118.339,165.1745,-48.6669,115.907
165.2444,-48.6430,121.845,165.1745,-48.6669,115.907,165.2537,-48.5850,118.339,165.3138,-48.6187,127.820,165.2356,-48.7012,125.316
