lon,lat,dep,Mw,strike1,dip1,rake1,strike2,dip2,rake2
176.3977,-38.0659,165.0000,4.500,75.0000,78.0000,103.0000,205.0000,18.0000,42.0000
177.3685,-39.1507,36.0000,3.800,28.0000,71.0000,-79.0000,177.0000,22.0000,-119.0000
177.8491,-38.3700,42.0000,4.300,358.0000,74.0000,156.0000,95.0000,67.0000,17.0000
174.8588,-39.1194,222.0000,4.300,166.0000,75.0000,82.0000,13.0000,17.0000,116.0000
175.5708,-40.8913,39.0000,3.900,209.0000,66.0000,-120.0000,84.0000,38.0000,-41.0000
167.2437,-44.6505,20.0000,3.500,160.0000,78.0000,19.0000,66.0000,72.0000,167.0000
177.0916,-36.7971,240.0000,4.800,133.0000,89.0000,61.0000,42.0000,29.0000,179.0000
176.4894,-37.5252,198.0000,4.400,46.0000,70.0000,104.0000,190.0000,24.0000,56.0000
177.3328,-38.9325,33.0000,4.400,78.0000,83.0000,-8.0000,169.0000,82.0000,-173.0000
176.1870,-38.1159,150.0000,5.000,29.0000,86.0000,-123.0000,292.0000,33.0000,-8.0000
174.2083,-41.3551,48.0000,4.100,5.0000,50.0000,-122.0000,229.0000,49.0000,-57.0000
176.0003,-38.4070,150.0000,5.600,73.0000,82.0000,110.0000,182.0000,21.0000,21.0000
178.0596,-38.9324,27.0000,4.400,356.0000,72.0000,135.0000,103.0000,48.0000,25.0000
178.0424,-38.9362,33.0000,4.400,358.0000,85.0000,-144.0000,265.0000,55.0000,-6.0000
178.0467,-38.9338,27.0000,4.100,178.0000,78.0000,154.0000,274.0000,64.0000,13.0000
167.3588,-45.0280,126.0000,4.100,175.0000,55.0000,71.0000,26.0000,40.0000,115.0000
166.1501,-45.9967,28.0000,4.000,333.0000,89.0000,-52.0000,64.0000,38.0000,-179.0000
178.2394,-38.0837,54.0000,4.800,288.0000,54.0000,72.0000,137.0000,40.0000,113.0000
176.9245,-39.8708,27.0000,4.400,195.0000,56.0000,-100.0000,34.0000,36.0000,-75.0000
174.4390,-39.6149,96.0000,5.200,32.0000,51.0000,-83.0000,200.0000,40.0000,-99.0000
176.3812,-40.2790,27.0000,4.700,207.0000,61.0000,-99.0000,44.0000,31.0000,-75.0000
175.9906,-38.2565,135.0000,4.200,351.0000,87.0000,158.0000,82.0000,68.0000,3.0000
173.2313,-41.3496,93.0000,3.900,354.0000,53.0000,130.0000,120.0000,52.0000,49.0000
176.0484,-38.1657,183.0000,4.500,280.0000,82.0000,-69.0000,28.0000,23.0000,-160.0000
177.5506,-38.0535,75.0000,4.600,326.0000,60.0000,112.0000,108.0000,36.0000,57.0000
178.0697,-38.0431,57.0000,4.700,141.0000,53.0000,93.0000,316.0000,38.0000,86.0000
175.7497,-38.6745,153.0000,5.500,140.0000,70.0000,62.0000,18.0000,34.0000,143.0000
174.1562,-40.3051,135.0000,4.500,284.0000,52.0000,98.0000,92.0000,38.0000,80.0000
167.3227,-45.1173,99.0000,4.600,236.0000,66.0000,121.0000,0.0000,38.0000,41.0000
175.8664,-38.3436,189.0000,4.400,124.0000,69.0000,71.0000,348.0000,28.0000,130.0000
176.0671,-38.6222,87.0000,4.300,240.0000,78.0000,-110.0000,121.0000,24.0000,-32.0000
176.5128,-38.5195,93.0000,4.100,27.0000,87.0000,159.0000,118.0000,69.0000,3.0000
177.7323,-36.6159,150.0000,4.800,14.0000,77.0000,67.0000,256.0000,26.0000,149.0000
176.3179,-37.5127,305.0000,4.600,237.0000,80.0000,163.0000,330.0000,73.0000,10.0000
176.6606,-40.2827,39.0000,4.300,220.0000,57.0000,-99.0000,56.0000,34.0000,-77.0000
167.4856,-44.9714,102.0000,4.200,3.0000,60.0000,69.0000,221.0000,36.0000,123.0000
178.0702,-38.9466,42.0000,4.300,50.0000,69.0000,117.0000,175.0000,34.0000,40.0000
175.6512,-38.9321,120.0000,4.600,333.0000,80.0000,-57.0000,79.0000,34.0000,-161.0000
178.5161,-37.4109,48.0000,4.000,213.0000,52.0000,-108.0000,61.0000,41.0000,-68.0000
178.0775,-38.9641,27.0000,4.600,225.0000,70.0000,140.0000,330.0000,53.0000,25.0000
178.1075,-38.9692,30.0000,4.300,161.0000,71.0000,56.0000,45.0000,38.0000,148.0000
179.8374,-37.2754,24.0000,4.500,327.0000,87.0000,167.0000,58.0000,77.0000,3.0000
177.1647,-38.9085,42.0000,4.000,225.0000,53.0000,-82.0000,31.0000,38.0000,-101.0000
174.3170,-41.3454,60.0000,5.100,235.0000,72.0000,-74.0000,12.0000,23.0000,-131.0000
175.7088,-38.6616,171.0000,4.200,148.0000,66.0000,83.0000,345.0000,25.0000,106.0000
167.0884,-45.3827,90.0000,3.800,236.0000,65.0000,133.0000,350.0000,49.0000,34.0000
166.9279,-45.6305,96.0000,3.900,137.0000,86.0000,-22.0000,228.0000,68.0000,-176.0000
167.1501,-45.3401,99.0000,4.100,234.0000,76.0000,114.0000,352.0000,28.0000,32.0000
165.7393,-46.1758,22.0000,3.900,139.0000,65.0000,65.0000,6.0000,35.0000,132.0000
176.1591,-38.5099,135.0000,4.100,51.0000,81.0000,129.0000,151.0000,40.0000,14.0000
176.7713,-39.9735,39.0000,4.100,340.0000,59.0000,-90.0000,159.0000,31.0000,-91.0000
173.4861,-40.1894,198.0000,4.700,128.0000,88.0000,44.0000,36.0000,46.0000,177.0000
173.3847,-40.3567,207.0000,4.100,124.0000,87.0000,14.0000,34.0000,76.0000,177.0000
174.9313,-38.9587,183.0000,4.500,52.0000,78.0000,149.0000,149.0000,59.0000,14.0000
176.6063,-37.3932,222.0000,4.200,87.0000,74.0000,105.0000,222.0000,22.0000,47.0000
174.2389,-39.5248,355.0000,4.300,104.0000,88.0000,176.0000,194.0000,86.0000,2.0000
175.0514,-39.9934,93.0000,4.100,139.0000,62.0000,41.0000,27.0000,54.0000,145.0000
176.7112,-37.2556,213.0000,4.200,60.0000,60.0000,96.0000,228.0000,31.0000,79.0000
174.6868,-40.7005,81.0000,4.200,342.0000,56.0000,68.0000,199.0000,40.0000,120.0000
176.2550,-40.1430,42.0000,4.400,272.0000,75.0000,-25.0000,9.0000,66.0000,-164.0000
178.9422,-35.0801,186.0000,4.700,349.0000,87.0000,58.0000,254.0000,32.0000,175.0000
176.4926,-38.6124,99.0000,4.200,46.0000,89.0000,99.0000,145.0000,9.0000,10.0000
177.6098,-37.7223,84.0000,4.300,351.0000,58.0000,128.0000,116.0000,48.0000,46.0000
174.6553,-39.9948,102.0000,3.900,185.0000,61.0000,76.0000,33.0000,32.0000,114.0000
167.3679,-45.1808,123.0000,4.700,99.0000,67.0000,129.0000,215.0000,44.0000,34.0000
178.8881,-37.5434,36.0000,4.500,20.0000,50.0000,-118.0000,239.0000,48.0000,-61.0000
178.9369,-38.0370,30.0000,4.400,326.0000,57.0000,64.0000,188.0000,41.0000,124.0000
176.2122,-38.4779,108.0000,4.000,115.0000,79.0000,111.0000,232.0000,23.0000,29.0000
174.6737,-41.3915,36.0000,4.000,230.0000,73.0000,40.0000,126.0000,53.0000,158.0000
176.4015,-38.0556,156.0000,4.400,45.0000,69.0000,121.0000,166.0000,37.0000,37.0000
173.7649,-40.0485,204.0000,6.200,123.0000,88.0000,72.0000,27.0000,18.0000,174.0000
173.7649,-40.0485,216.0000,6.300,128.0000,87.0000,74.0000,26.0000,16.0000,168.0000
175.8142,-39.0713,87.0000,5.000,147.0000,80.0000,58.0000,42.0000,33.0000,162.0000
173.7879,-41.3737,93.0000,4.400,10.0000,66.0000,69.0000,233.0000,32.0000,128.0000
176.9741,-38.5251,63.0000,4.700,131.0000,78.0000,42.0000,30.0000,49.0000,164.0000
177.8695,-38.5672,33.0000,4.100,200.0000,85.0000,-143.0000,106.0000,53.0000,-6.0000
175.9987,-38.1169,228.0000,4.100,94.0000,56.0000,138.0000,210.0000,56.0000,42.0000
176.0473,-38.1026,174.0000,4.500,289.0000,68.0000,41.0000,181.0000,53.0000,152.0000
175.7262,-38.6212,174.0000,3.900,221.0000,51.0000,89.0000,43.0000,39.0000,91.0000
175.9904,-38.3113,228.0000,5.000,79.0000,52.0000,105.0000,236.0000,41.0000,72.0000
176.1671,-38.6385,99.0000,5.700,133.0000,88.0000,78.0000,32.0000,12.0000,169.0000
166.1061,-46.0710,27.0000,3.800,52.0000,82.0000,-119.0000,309.0000,30.0000,-16.0000
178.9627,-38.3092,24.0000,4.600,208.0000,77.0000,122.0000,319.0000,34.0000,24.0000
176.7208,-39.0746,81.0000,4.200,164.0000,71.0000,64.0000,40.0000,32.0000,141.0000
176.0593,-38.3501,156.0000,6.300,69.0000,73.0000,115.0000,191.0000,30.0000,35.0000
176.1084,-38.5341,114.0000,4.600,127.0000,65.0000,81.0000,327.0000,26.0000,108.0000
178.0147,-38.4061,54.0000,4.000,301.0000,58.0000,87.0000,126.0000,32.0000,94.0000
177.5889,-36.8715,180.0000,4.100,1.0000,82.0000,52.0000,261.0000,39.0000,167.0000
178.1932,-38.5011,30.0000,4.000,202.0000,80.0000,96.0000,351.0000,12.0000,59.0000
178.6743,-36.7603,294.0000,5.300,19.0000,69.0000,-138.0000,271.0000,51.0000,-27.0000
174.4079,-40.5145,72.0000,4.300,215.0000,74.0000,-133.0000,109.0000,45.0000,-22.0000
174.3384,-39.8124,117.0000,4.800,327.0000,88.0000,-63.0000,61.0000,27.0000,-176.0000
